学校,年级,学院,专业,专业方向_路径,培养方案标题,专业代码,源文件,Markdown文件,培养目标概括,主要能力要求概括,核心课程概括,培养特色概括,学制与学位概括,专业主键,专业别名
首都经济贸易大学,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,保险学专业（保险精算）本科人才培养方案,020303,2023级/10金融学院/保险学（保险精算）/保险学（保险精算）1-6.docx,01_Markdown培养方案/2023级/10金融学院/保险学（保险精算）/保险学（保险精算）1-6.md,本专业培养具有社会主义核心价值观以及规范使用语言文字的意识和应用能力，适应现代经济与社会发展需要，德智体美劳全面发展，经济学、金融学和保险学理论基础扎实，擅长保险精算，知识结构合理，适应能力强，富有创新精神，能够在境内外保险公司、银行、证券公司、信托投资公司以及其他金融机构、企事业单位和政府部门从事相关专业工作的保险精算人才、保险实务人才、金融业务人才和管理人才。同时，培养具备较高的经济学、统计学、金融学、保险学理论素养，志向从事科研工作的科研潜力人才。,1．掌握马克思主义、毛泽东思想和习近平新时代中国特色社会主义思想理论体系；2．系统掌握经济学和金融保险学科的基础知识和专业理论；3．具备一定的保险精算技能和保险实务操作技能,政治经济学、微观经济学、宏观经济学、金融学、会计学、统计学、公司金融、计量经济学、保险学原理、财产保险、人身保险、利息理论、再保险、保险会计与财务、寿险精算、非寿险精算、保险法与保险监管。,1．以中国精算师资格考试为导向；2．注重实践教学；3．倡导开放式办学；4．加强科研训练,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-001,保险学（保险精算）
首都经济贸易大学,2023级,金融学院,投资学,投资学,投资学专业本科人才培养方案,020304,2023级/10金融学院/投资学/投资学1-6.docx,01_Markdown培养方案/2023级/10金融学院/投资学/投资学1-6.md,本专业培养具有正确社会主义核心价值观以及规范使用语言文字的意识和应用能力，具有较强业务与科研素养，具有国际视野，具有解决复杂金融投资问题的综合能力，能够胜任银行、证券、保险等金融机构、政府部门和企事业单位的专业工作要求，同时能在大数据与人工智能时代背景下，融会贯通前沿量化投资与金融知识的应用型和复合型人才。,1．掌握马克思主义、毛泽东思想和中国特色社会主义理论体系；2．掌握投资学的基础知识和专业基础理论，熟悉金融学、计算机科学（偏人工智能方向）、经济学等学科原理与方法，了解投资与金融领域的有关方针、政策和法规以及国内外本学科的理论前沿和发展动态；3．能够应用投资学的基本原理、方法对本专业领域及相关领域问题进行分析、管理和研究，并能在实际工作中提出相应对策和建议，形成解决方案；4．具有宽广的国际视野，熟悉国际惯例,政治经济学、微观经济学、金融学、宏观经济学、会计学、统计学、计量经济学、金融计量学、国际金融学（双语）、商业银行经营管理、公司金融（双语）、投资学、金融衍生工具（双语）、固定收益证券（双语）、保险学。,1．夯实金融基础，凸显量化投资思维；2．注重实践能力，强调专业技能；3．践行开放办学理念，鼓励学生国际学习合作交流,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-002,投资学
首都经济贸易大学,2023级,金融学院,金融学,金融学,金融学类专业（金融学）本科人才培养方案,020301K,2023级/10金融学院/金融学/金融学1-6.docx,01_Markdown培养方案/2023级/10金融学院/金融学/金融学1-6.md,金融学专业着眼于学生社会主义核心价值观的正确树立和德智体美劳的全面发展。着重培养金融人才的国际化视野、科研创新能力和长期自我学期能力，具备扎实的经济学和金融学理论基础、熟练的金融学专业知识和应用技能、国内外继续深造的基础和能力；具有深厚的知识储备和合理的知识结构、较高的外语水平和广泛的国际化视角；具有团队合作意识、社会责任感和创新精神，能够胜任国内外金融机构、工商企业以及政府部门金融实际工作的知识、能力、素质“三位一体”的复合型、国际化、创新金融人才。,1．掌握马克思主义、毛泽东思想和新时代中国特色社会主义思想体系；2．注重金融创新人才身心健康、职业道德、德智体美劳等综合发展；3．夯实金融学科基础知识理论、拓宽知识广度、优化知识结构；4．具备金融和经济现象的分析能力、思考能力和实践开拓能力；5．具有宽广的国际视野、熟悉国际惯例并恰当使用现代工具,微观经济学、宏观经济学、政治经济学、统计学、计量经济学、会计学金融学课导论、金融学、国际金融学、投资学、金融计量学、保险学、商业银行经营管理、公司金融、衍生金融工具、固定收益证券等。,1．注重综合能力、培养复合型创新人才；2．注重科研与实践结合、培养专业操作能力；3．重视职业技能培养、注重量化工具使用能力,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-003,金融学
首都经济贸易大学,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,金融学专业（国际金融英文班）本科人才培养方案,020301K,2023级/10金融学院/金融学（国际金融英文班）/金融学（国际金融英文班） 1-6.docx,01_Markdown培养方案/2023级/10金融学院/金融学（国际金融英文班）/金融学（国际金融英文班） 1-6.md,本专业培养具有正确社会主义核心价值观以及规范使用语言文字的意识和应用能力，具有扎实的经济学和金融学理论基础，熟练运用现代经济、金融分析方法和技术手段，具有开阔的国际视野和较高的外语水平，能够到国际一流学府继续深造，或者在中外资金融机构从事金融实务工作的高素质、创新型、应用型、国际化人才。,1．掌握马克思主义、毛泽东思想和习近平新时代中国特色社会主义理论体系；2．系统掌握经济学和国际金融学的基本理论；3．具备金融和经济现象的分析能力、思考能力和实践开拓能力；4．参与并通过主要金融资格考试；5．具备良好的社会公德和个人修养等综合素质,货币金融学、公司金融、投资学、国际金融学、金融衍生工具、商业银行经营管理、固定收益证券、保险与风险管理、金融计量学，核心课程全部使用英文原版教材、实行英语教学。,1．全英文的教学语境与国际化培养模式；2．科学的课程体系设置；3．强调阅读并将着眼点放在日常学习的人才培养模式；4．个性化的学生服务,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-004,金融学（国际金融英文班）
首都经济贸易大学,2023级,金融学院,金融工程,金融工程,金融工程专业本科人才培养方案,020302,2023级/10金融学院/金融工程/金融工程1-6.doc,01_Markdown培养方案/2023级/10金融学院/金融工程/金融工程1-6.md,金融工程专业旨在培养具有正确社会主义核心价值观，具备坚实的经济金融理论基础和数理功底，熟练掌握金融工程专业知识和技术方法，拥有科学精神、创新精神和自主学习能力，能够设计、开发新的金融工具和交易手段，能够开展金融风险管理、投融资管理以及金融衍生产品定价工作，具有较高的专业素养、外语水平和强烈的社会责任感，能够在金融机构、工商企业或其他部门从事风险管理、财务以及金融相关领域工作的高素质、复合型、应用型人才。,1．掌握马克思主义、毛泽东思想和中国特色社会主义理论体系；2.拥有强烈的社会责任感和健康的身心素质；3.系统掌握金融工程专业基础知识理论，具备完善的知识结构；4.具备良好的专业视野和自主学习能力；5.熟悉金融工程原理、技术和方法，具有对本领域相关问题的判断和分析能力,政治经济学、微观经济学、宏观经济学、计量经济学、会计学、统计学、金融学、投资学，公司金融、商业银行经营管理、金融工程学、金融计量学、固定收益证券、金融衍生工具、数理金融、金融风险测度与管理等。,1.夯实金融基础，凸显数理思维；2．注重实践能力，强调专业技能；3．力行开放办学，鼓励合作交流,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-005,金融工程
首都经济贸易大学,2023级,统计学院,数学与应用数学（金融方向）,数学与应用数学（金融方向）,本科人才培养方案,070101,2023级/11统计学院/数学与应用数学（金融方向）/数学与应用数学（金融方向）1-6.docx,01_Markdown培养方案/2023级/11统计学院/数学与应用数学（金融方向）/数学与应用数学（金融方向）1-6.md,本专业旨在培养具有正确的社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展，具有扎实的数学与统计理论基础，系统掌握基本的金融理论，具有较强的计算机应用能力，熟练运用数学与统计等软件和模型解决实际问题尤其是金融相关问题，能在经济部门、科研部门和政府部门等从事经济分析、金融产品设计等工作，或继续攻读应用数学、金融数学、应用统计等相关专业研究生学位的金融数学专业人才，具有国际视野与创新精神的社会主义建设者和接班人。,1．热爱祖国，拥护中国共产党的领导，掌握马克思主义、毛泽东思想和中国特色社会主义理论体系，树立辩证唯物主义和历史唯物主义的世界观，具有强烈的法律意识及较好的人文社会科学素养，在实践中自觉遵守职业道德规范，履行社会责任和义务；2.系统掌握数学科学、统计科学的基本理论和基本方法，熟悉经济、金融、计算机等领域的相关基础知识和基本方法，具有运用数学、统计和计算机等知识建立模型以解决实际问题的能力，特别是金融定量分析能力，具有较宽的知识面和知识结构；3．掌握科学思维方法和科学研究方法，具有较强的学习能力和科学研究能力，掌握资料查询、文献检索及运用现代信息技术获取相关信息的基本方法；4．掌握一门外语，具有较强的外语阅读能力和外语听、说、写、译能力，能利用外语获取专业信息；5．具有良好的个人修养及健康的心理体魄，能够在多学科背景下发挥个体优势，具有团队协作能力，并具有一定的组织领导能力,数学分析、高等代数与几何、概率论、数理统计、实变函数与泛函分析、常微分方程、优化方法、数值分析、复变函数、时间序列分析、回归分析、随机过程、多元统计分析、微观经济学、宏观经济学、金融学、金融数学、证券投资分析、金融统计分析,1．加强基础理论和方法论学习；2．注重实践能力培养；3．加强创新能力培养；4．重视国际视野培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予理学学士学位。,CUEB-2023-006,数学与应用数学（金融方向）
首都经济贸易大学,2023级,统计学院,数据科学与大数据技术,数据科学与大数据技术,数据科学与大数据技术专业本科人才培养方案,080910T,2023级/11统计学院/数据科学与大数据技术/数据科学与大数据技术1-6.docx,01_Markdown培养方案/2023级/11统计学院/数据科学与大数据技术/数据科学与大数据技术1-6.md,本专业旨在培养具有正确的社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展，以数学与计算机为基础，系统掌握数据科学及大数据技术的专业知识，具有搜集、整理、分析和呈现大数据的基本能力，能够熟练使用在大数据架构上的基本工具进行数据分析，为企业、咨询和研究机构解决实际问题的应用型大数据分析人才，具有国际视野与创新精神的社会主义建设者和接班人。,1.掌握马克思主义、毛泽东思想与中国特色社会主义基本理论，具有良好的思想品德、个人修养以及健康的心理和体魄，具有良好的人文社会科学素养、职业道德和心理素质，社会责任感强；2.掌握统计专业所必须的数学基础知识，理解如何使用数学语言表达统计思想；3.具有扎实的数据科学理论功底，系统掌握数据科学和大数据专业知识，了解国内外国际前沿动态；4.具有较强的计算机及互联网应用能力，掌握高效的处理大数据的方法，掌握大数据建模和分析的基础理论，能够从大数据中获取有价值的知识；5.具备解决交叉学科实际问题的能力,数学分析、高等代数、数据科学的概率基础、面向对象程序设计（JAVA）、数据科学的计算机基础、经济学原理、数据科学导论、数据科学的统计基础、数据库原理与应用、抽样技术与应用、回归分析、分布式计算、时间序列分析、数据结构、统计编程基础、Python数据分析、数据仓库与数据挖掘、机器学习、大数据预处理、数据科学算法,1．实现与计算机学科的交叉培养；2．注重实践能力的培养与业界的结合；3．本专业（方向）与国内国外有关学校深入广泛合作，与港澳台和国外知名大学有充分的交流与合作，有着突出的教育国际化的特点,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予理学学士学位。,CUEB-2023-007,数据科学与大数据技术
首都经济贸易大学,2023级,统计学院,经济统计学,经济统计学,经济统计学专业本科人才培养方案,020102,2023级/11统计学院/经济统计学/经济统计学1-6.docx,01_Markdown培养方案/2023级/11统计学院/经济统计学/经济统计学1-6.md,本专业旨在培养具有正确的社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展。具有良好的数学与经济学素养，具有厚实的统计学理论方法与经济学基础。能够熟练掌握数据分析方法和统计软件，具备搜集、整理、分析数据的知识和能力，胜任经济管理数据分析工作的高级统计分析人才。具有国际视野与创新精神的社会主义建设者和接班人。,1.具有正确的社会主义核心价值观，德智体美劳全面发展；2．应用概率论、数理统计、经济理论等专业知识，胜任经济管理数据分析工作；3．运用经济统计学基础理论和方法，基于概率论、计算机技术，借助文献研究等手段，识别、分析复杂问题，并可以建立统计模型，获得有效结论；4．掌握统计软件及常用数据库工具的使用及各类软件的优缺点，并针对现实问题可以合理选择数据分析工具或利用已有资源进行简单开发小型数据处理平台；5．具备一定的国际视野，关注国际统计应用的新进展，借鉴国际先进统计分析方法并运用到自己的工作实际,数学分析、概率论、数理统计、微观经济学、宏观经济学、抽样技术与应用、时间序列分析、多元统计分析、回归分析、贝叶斯统计、国民经济核算、非参数统计等。,1．注重统计方法在经济分析中的应用；2．注重实践能力的培养；3．遵循经济统计学学科发展规律及教育教学规律，课程设置与国际接轨，可以进行国内外的学术沟通与交流，满足国际化需求,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-008,经济统计学
首都经济贸易大学,2023级,统计学院,统计学,统计学,统计学专业本科人才培养方案,071201,2023级/11统计学院/统计学/统计学1-6.docx,01_Markdown培养方案/2023级/11统计学院/统计学/统计学1-6.md,本专业旨在培养具有正确的社会主义核心价值观，德智体美劳全面发展，具有扎实的数学与统计理论基础，能系统掌握统计学思想，熟练运用统计知识和方法分析处理数据，具备较强的应用和解决实际问题能力及创新创业能力的卓越统计师、数据工程师、数据科学家和拔尖的统计学基础学科研究人才，具有国际视野与创新精神的社会主义建设者和接班人。,1．掌握马克思主义、毛泽东思想和中国特色社会主义理论体系；2.具备扎实的数学基础，受到严格的科学思维训练，初步掌握数学科学思想方法，形成严谨的逻辑推理和量化分析的思维方式；3.具备计算机应用的基本技术技能，掌握至少一门面向数据的编程语言，具有一定的统计计算和数据挖掘能力，理解常用统计软件的原理，并能熟练使用这些统计分析软件处理相关问题；4.关注社会经济发展状况，了解与统计、数据挖掘等有关的自然科学、社会科学、工程技术某一领域的基本知识，能够将其与统计学理论相结合，具备在某些实践领域发现问题，并适当描述问题、能灵活运用所学知识分析并最终解决问题的初步能力；5.具有较高的外语水平，具有良好的听、说、读、写能力，熟悉本专业的英文专业术语，能够顺利阅读本专业外文资料,数学分析、高等代数与几何、概率论、数理统计、经济学原理、实变函数与泛函分析、常微分方程、随机过程、时间序列分析、多元统计分析、回归分析、试验设计、抽样技术与应用、贝叶斯统计、非参数统计等。,1．注重数学思维与统计思想的有机融合；2．注重统计理论与实践能力的并重培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予理学学士学位。,CUEB-2023-009,统计学
首都经济贸易大学,2023级,外国语学院,商务英语,商务英语,商务英语专业本科人才培养方案,050262,2023级/12外国语学院/商务英语/商务英语1-6.docx,01_Markdown培养方案/2023级/12外国语学院/商务英语/商务英语1-6.md,nan,1.具有人文素养、科学精神和社会责任感，熟悉商务领域相关政策及法律、法规，能够在本专业领域实践活动中理解并遵守职业道德和职业规范，具有国际视野；2.掌握通识教育类、英语语言文学和商务学科基础类、专业类知识及相关学科知识，并能将所学知识用于解释本专业领域及相关领域的现象和问题；3.能够应用英语语言文学基础理论和研究方法、应用商务活动的基本原理和方法，对相关领域问题进行判断、分析和研究，提出相应对策和建议，并形成解决方案；4.能够恰当使用现代工具，对英语语言文学领域与商务领域的数据信息进行收集和分析处理，完成所从事的专业领域任务；5.能够使用书面和口头表达方式就英语语言文学领域以及商务领域的现象和问题进行有效沟通与交流,综合英语I-IV、高级英语I-II、英语阅读I-II、商务英语阅读、高级商务英语阅读、英语视听说I-II、商务英语视听说（实验）、高级商务英语视听说（实验）、翻译概论、基础口译、经贸翻译实务、商务会议口译、英语基础写作、高级英语写作、商务英语写作、商务英语函电、研究方法与学术写作、英语文学导论、英美文学选读、语言学概论、中国文化（英语）、英语国家概况、交际英语、商务导论、跨文化商务沟通导论、经济学原理、话说北京（英语）、京津冀商务论坛（实验）等。,1.“教学+思政”的理念；2.“着眼国际+服务区域”的目标；3.“英语+商务”的课程主体框架；4.“理论+实践”的培养模式；5.“国内+国际”联合培养的学习渠道,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予文学学士学位。,CUEB-2023-010,商务英语
