技能别名主键,标准技能名称,技能别名,技能大组,技能子组,技能性质,匹配策略,词典置信度,来源依据,备注,别名标准化键,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,是否AI核心技能,同名候选技能数,别名映射状态
BM00475,APQP,PPAP,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,ppap,JN0208,产品质量先期策划（APQP）,方法、标准与流程,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM01759,AWS,AWS,,,,,,标准技能名称,,aws,JN0399,AWS（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM01770,Azure,Azure,,,,,,标准技能名称,,azure,JN0523,Azure（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM00112,BI,PowerBI,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,powerbi,JN0251,BI（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM00113,BI,Tableau,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,tableau,JN0251,BI（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM00715,CET4,托福,证书资质,证书资质,证书资质,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,托福,JN0751,大学英语四级（CET4）,证书与资质,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM00714,CET4,雅思,证书资质,证书资质,证书资质,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,雅思,JN0751,大学英语四级（CET4）,证书与资质,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM01718,FQC,FQC,,,,,,标准技能名称,,fqc,JN0021,成品质量控制（FQC）,职业职能与业务活动,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM00124,Git,GitLab,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,gitlab,JN0135,Git（运维云与安全）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,2,一词多义需结合语境
BM00125,Git,github,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,github,JN0135,Git（运维云与安全）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,2,一词多义需结合语境
BM01776,GitHub,GitHub,,,,,,标准技能名称,,github,JN0380,GitHub（运维云与安全）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,2,一词多义需结合语境
BM01771,GitLab,GitLab,,,,,,标准技能名称,,gitlab,JN0518,GitLab（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM00484,HAZOP,LOPA,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,lopa,JN0631,危险与可操作性分析（HAZOP）,方法、标准与流程,20.0,安全环保与职业健康,否,2,一词多义需结合语境
BM01724,IATF 16949,IATF 16949,,,,,,标准技能名称,,iatf16949,JN0178,汽车行业质量管理体系标准（IATF 16949）,方法、标准与流程,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM00449,IATF16949,IATF16949,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,iatf16949,,,,,,,2,一词多义需结合语境
BM01716,IPQC,IPQC,,,,,,标准技能名称,,ipqc,JN0018,制程质量控制（IPQC）,职业职能与业务活动,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM00461,IQC,FQC,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,fqc,JN0015,来料质量控制（IQC）,职业职能与业务活动,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM00459,IQC,IPQC,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,ipqc,JN0015,来料质量控制（IQC）,职业职能与业务活动,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM00460,IQC,OQC,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,oqc,JN0015,来料质量控制（IQC）,职业职能与业务活动,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM01796,LOPA,LOPA,,,,,,标准技能名称,,lopa,JN0666,保护层分析（LOPA）,方法、标准与流程,20.0,安全环保与职业健康,否,2,一词多义需结合语境
BM01787,MindManager,MindManager,,,,,,标准技能名称,,mindmanager,JN0400,MindManager（办公软件与通用数字工具）,方法、标准与流程,1.0,表达沟通与通用办公协作,否,2,一词多义需结合语境
BM01717,OQC,OQC,,,,,,标准技能名称,,oqc,JN0020,出货质量控制（OQC）,职业职能与业务活动,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM01728,PPAP,PPAP,,,,,,标准技能名称,,ppap,JN0226,生产件批准程序（PPAP）,方法、标准与流程,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM01777,Power BI,Power BI,,,,,,标准技能名称,,powerbi,JN0575,Power BI（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM01774,SEM,SEM,,,,,,标准技能名称,,sem,JN0375,搜索引擎营销（SEM）,方法、标准与流程,5.0,视觉设计与数字内容制作,否,2,一词多义需结合语境
BM00345,SEO,sem,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sem,JN0294,搜索引擎优化（SEO）,方法、标准与流程,5.0,视觉设计与数字内容制作,否,2,一词多义需结合语境
BM00346,SEO,信息流投放,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,信息流投放,JN0294,搜索引擎优化（SEO）,方法、标准与流程,5.0,视觉设计与数字内容制作,否,2,一词多义需结合语境
BM00044,Spring,Spring Cloud,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,springcloud,JN0054,Spring（开发框架）,工具软件与技术平台,3.0,Java后端开发与中间件,否,2,一词多义需结合语境
BM01737,Spring Cloud,Spring Cloud,,,,,,标准技能名称,,springcloud,JN0160,Spring Cloud（开发框架）,工具软件与技术平台,3.0,Java后端开发与中间件,否,2,一词多义需结合语境
BM01755,Tableau,Tableau,,,,,,标准技能名称,,tableau,JN0431,Tableau（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM01775,Western Blot,Western Blot,,,,,,标准技能名称,,westernblot,JN0570,Western Blot（医药医疗生命科学）,具体专业技能,18.0,医药研发与药事管理,否,2,一词多义需结合语境
BM00204,XMind,MindManager,办公软件与通用数字工具,办公软件与通用数字工具,工具软件/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,mindmanager,JN0305,XMind（办公软件与通用数字工具）,方法、标准与流程,1.0,表达沟通与通用办公协作,否,2,一词多义需结合语境
BM00702,一级建造师,二级建造师,证书资质,证书资质,证书资质,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,二级建造师,JN0747,一级建造师,证书与资质,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM01783,三菱PLC,三菱PLC,,,,,,标准技能名称,,三菱plc,JN0578,三菱PLC（机械电子电气制造）,方法、标准与流程,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM01820,二级建造师,二级建造师,,,,,,标准技能名称,,二级建造师,JN0757,二级建造师,证书与资质,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM00711,人力资源管理师,经济师,证书资质,证书资质,证书资质,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,经济师,JN0760,人力资源管理师,证书与资质,17.0,人力资源与行政管理,否,2,一词多义需结合语境
BM01814,仲裁,仲裁,,,,,,标准技能名称,,仲裁,JN0732,仲裁,专业知识与行业经验,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM00265,保险核保,保险理赔,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,保险理赔,JN0649,保险核保,具体专业技能,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM00266,保险核保,精算,财务审计税务金融,财务审计税务金融,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,精算,JN0649,保险核保,具体专业技能,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM01780,保险理赔,保险理赔,,,,,,标准技能名称,,保险理赔,JN0499,保险理赔,具体专业技能,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM01794,信息流投放,信息流投放,,,,,,标准技能名称,,信息流投放,JN0632,信息流投放,方法、标准与流程,5.0,视觉设计与数字内容制作,否,2,一词多义需结合语境
BM01810,储能,储能,,,,,,标准技能名称,,储能,JN0708,储能,专业知识与行业经验,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM01778,元数据管理,元数据管理,,,,,,标准技能名称,,元数据管理,JN0515,元数据管理,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM01790,光伏运维,光伏运维,,,,,,标准技能名称,,光伏运维,JN0628,光伏运维,具体专业技能,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM01743,六西格玛,六西格玛,,,,,,标准技能名称,,六西格玛,JN0382,六西格玛,方法、标准与流程,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM00234,出纳,资金管理,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,资金管理,JN0010,出纳,职业职能与业务活动,12.0,财务会计与税务管理,否,2,一词多义需结合语境
BM00555,医疗器械注册,药品注册,医药医疗生命科学,医药医疗生命科学,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,药品注册,JN0550,医疗器械注册,具体专业技能,18.0,医药研发与药事管理,否,2,一词多义需结合语境
BM01773,华为云,华为云,,,,,,标准技能名称,,华为云,JN0510,华为云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM00496,工程管理,项目管理,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,项目管理,JN0003,工程管理,职业职能与业务活动,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM00490,建筑设计,方案设计,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,方案设计,JN0194,建筑设计,具体专业技能,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM00655,德语,法语,语言与跨文化,语言与跨文化,专业技能/方法流程,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,法语,JN0419,德语,语言能力,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM00656,德语,西班牙语,语言与跨文化,语言与跨文化,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,西班牙语,JN0419,德语,语言能力,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM01821,托福,托福,,,,,,标准技能名称,,托福,JN0767,托福,证书与资质,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM00700,执业药师,护士资格,证书资质,证书资质,证书资质,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,护士资格,JN0754,执业药师,证书与资质,18.0,医药研发与药事管理,否,2,一词多义需结合语境
BM01823,护士资格,护士资格,,,,,,标准技能名称,,护士资格,JN0765,护士资格,证书与资质,18.0,医药研发与药事管理,否,2,一词多义需结合语境
BM01750,摄像,摄像,,,,,,标准技能名称,,摄像,JN0315,摄像,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,2,一词多义需结合语境
BM00369,摄影,摄像,设计传媒内容,设计传媒内容,工具软件/方法流程,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,摄像,JN0283,摄影,方法、标准与流程,5.0,视觉设计与数字内容制作,否,2,一词多义需结合语境
